mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.49228658676147463,0.03133793825351421,0.0026366710662841797,0.00017888442875166962,relu,0.0001,"(64,)",0.001,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.001}",0.5333333333333333,0.5,0.35714285714285715,0.5714285714285714,0.35714285714285715,0.4638095238095238,0.0899785814775747,42
0.41794538497924805,0.047119342892146185,0.002528524398803711,0.00014412552783084727,relu,0.0001,"(64,)",0.01,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",0.3333333333333333,0.42857142857142855,0.14285714285714285,0.35714285714285715,0.21428571428571427,0.2952380952380952,0.1027953959282043,83
0.42614293098449707,0.032879186809935707,0.0028499603271484376,0.0006533141467145328,relu,0.0001,"(64,)",0.1,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.1}",0.4,0.2857142857142857,0.21428571428571427,0.35714285714285715,0.35714285714285715,0.32285714285714284,0.06552768537816982,80
1.0862040996551514,0.2613195902348261,0.004178190231323242,0.0012695397661999788,relu,0.0001,"(128,)",0.001,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",0.4666666666666667,0.7142857142857143,0.2857142857142857,0.5,0.42857142857142855,0.47904761904761906,0.1384592902505619,36
1.1212939262390136,0.07387056609247784,0.006342267990112305,0.0034457814766940885,relu,0.0001,"(128,)",0.01,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",0.4,0.21428571428571427,0.14285714285714285,0.35714285714285715,0.21428571428571427,0.2657142857142857,0.09672177645606149,92
0.8722865104675293,0.1658133910157167,0.0044858455657958984,0.0008931870618084379,relu,0.0001,"(128,)",0.1,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.1}",0.26666666666666666,0.5,0.21428571428571427,0.2857142857142857,0.5714285714285714,0.3676190476190476,0.1410488730210166,71
1.3068250179290772,0.1880623396338119,0.006834745407104492,0.0004832079638863424,relu,0.0001,"(256,)",0.001,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",0.6,0.5,0.2857142857142857,0.5714285714285714,0.35714285714285715,0.4628571428571428,0.12209063210983713,45
1.1705752849578857,0.03817556872374744,0.007334327697753907,0.002354021933598675,relu,0.0001,"(256,)",0.01,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.01}",0.3333333333333333,0.5,0.14285714285714285,0.35714285714285715,0.2857142857142857,0.3238095238095238,0.11527350892295432,79
1.6697591304779054,0.4852251192545596,0.011364889144897462,0.0039962659256597395,relu,0.0001,"(256,)",0.1,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.1}",0.4,0.5,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.3942857142857143,0.055402055513329475,67
0.9220799922943115,0.0552363145627871,0.006409406661987305,0.004043041263205168,relu,0.0001,"(64, 64)",0.001,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.001}",0.5333333333333333,0.6428571428571429,0.42857142857142855,0.5714285714285714,0.35714285714285715,0.5066666666666667,0.10189140989519598,24
0.6088474273681641,0.10242533832098148,0.002727365493774414,0.00026492420240684534,relu,0.0001,"(64, 64)",0.01,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",0.26666666666666666,0.35714285714285715,0.14285714285714285,0.21428571428571427,0.42857142857142855,0.2819047619047619,0.10130217924247424,88
0.7063878059387207,0.334400891345441,0.002894687652587891,0.0002566462063331021,relu,0.0001,"(64, 64)",0.1,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.1}",0.2,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.15428571428571428,0.050628700419055296,103
0.8244065761566162,0.049091580517975505,0.003774070739746094,0.00013603142052466202,relu,0.0001,"(128, 128)",0.001,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (128, 128), 'learning_rate_init': 0.001}",0.4666666666666667,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.5,0.5076190476190476,0.10671767487871574,21
0.8076589584350586,0.08833055714408744,0.004458093643188476,0.0005525522368269455,relu,0.0001,"(128, 128)",0.01,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (128, 128), 'learning_rate_init': 0.01}",0.26666666666666666,0.35714285714285715,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.2533333333333333,0.07173900794387232,95
0.9323248863220215,0.6024842030949388,0.0042401313781738285,0.0006137029198775443,relu,0.0001,"(128, 128)",0.1,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (128, 128), 'learning_rate_init': 0.1}",0.06666666666666667,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.08476190476190475,0.029106108171306905,108
