mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.3275689601898195,1.0675854789496855,0.3665745258331299,0.2527681334205866,relu,0.001,"(128,)",0.1,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.1}",0.2,,0.0,0.0,,,,19
2.4662959575653076,0.9164395399074444,0.20607495307922363,0.032079355177918024,relu,0.001,"(256,)",0.001,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",0.0,0.14285714285714285,0.07142857142857142,0.07142857142857142,,,,19
1.949549674987793,0.1760331335739895,0.26007857322692873,0.07445270144587898,relu,0.001,"(256,)",0.01,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.01}",0.0,0.14285714285714285,0.07142857142857142,0.21428571428571427,,,,19
2.5881000995635985,0.7090042248195665,0.24903397560119628,0.06598816794427524,relu,0.001,"(256,)",0.1,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.1}",0.0,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.09999999999999998,0.07284313590846835,3
3.28297381401062,0.6694002436471255,0.3241136074066162,0.11040610279174985,relu,0.001,"(64, 64)",0.001,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.001}",0.0,0.0,,0.0,,,,19
3.3013978004455566,0.8601459525436885,0.2874497890472412,0.09956579018839995,relu,0.001,"(64, 64)",0.01,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",,,0.0,0.2857142857142857,,,,19
3.7736250877380373,0.7467823900594686,0.33979144096374514,0.12008208591282069,relu,0.001,"(64, 64)",0.1,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.1}",,0.07142857142857142,0.07142857142857142,0.35714285714285715,,,,19
3.155393362045288,0.3146053723982209,0.2917125701904297,0.08320352548424909,relu,0.001,"(128, 128)",0.001,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (128, 128), 'learning_rate_init': 0.001}",0.0,,0.0,0.07142857142857142,0.0,,,19
4.021106195449829,0.9257694059904032,0.36252541542053224,0.1287882137315077,relu,0.001,"(128, 128)",0.01,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (128, 128), 'learning_rate_init': 0.01}",0.0,0.0,0.0,,,,,19
3.7738080501556395,1.1713652380149997,0.2967514514923096,0.08414924720490115,relu,0.001,"(128, 128)",0.1,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (128, 128), 'learning_rate_init': 0.1}",0.0,0.07142857142857142,0.0,,0.0,,,19
2.738875150680542,0.13073444812151808,0.2505512714385986,0.011387366897695725,relu,0.001,"(256, 256)",0.001,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (256, 256), 'learning_rate_init': 0.001}",0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.05714285714285714,0.06998542122237653,8
3.751175785064697,0.7939280375213781,0.32309708595275877,0.08797537356186676,relu,0.001,"(256, 256)",0.01,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (256, 256), 'learning_rate_init': 0.01}",0.0,,0.0,,0.0,,,19
